"Region","State","Project Name","Delivery Track","BTS / Customer","Site id","Site Name","Loading date from wi team","Permission Required Date","Complete date","TAT","Aging","WI TAT","TAT Remarks","Pending/YTS","Remarks","Another Remarks if Required","Work Order Status","Work Order (WO) Remarks"
"East","Orissa","BH migration from TTSL to alternate FY25","BTS Survey","BTS","OR/BD/BS/14565","BANKA SAHI","45661.0","45661.0","45662.0","1","592","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","BH migration from TTSL to alternate FY25","UBR BH Survey","UBR BH","ORIKEN0679","Kendrapara_004_GSM","45661.0","45661.0","45665.0","4","592","3.0","Outside TAT","Fully Completed","Previous survey TAT was 5 days","67","","NIL"
"East","Assam","CX4 to Conventional BH FY 25","BTS Dismantle","BTS","TRAS0023","M G Road","45741.0","45741.0","45745.0","4","512","7.0","In TAT","Fully Completed","67","","","NIL"
"East","Assam","CX4 to Conventional BH FY 25","BTS Survey","BTS","IN-2000399","ASGT10399","45741.0","45742.0","45748.0","6","511","3.0","Outside TAT","Fully Completed","NESA location","67","","NIL"
"East","Orissa","BH migration from TTSL to alternate FY25","UBR BH Survey","UBR BH","ORIPUR0328","Nimapada_2","45661.0","45661.0","45665.0","4","592","3.0","Outside TAT","Fully Completed","Previous survey TAT was 5 days","67","","NIL"
"East","Orissa","CX4 to Conventional BH FY 25","UBR BH Survey","UBR BH","ORIPUR0341","SAKHIGOPAL","45666.0","45667.0","45668.0","1","586","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Bihar","Non Performing BS Optimization Ph-10A","UBR BH Installation","UBR BH","BIHGAY0138","Gaya_Ashok Nagar","45875.0","45898.0","45915.0","17","355","5.0","Outside TAT","Fully Completed","Physical installation completed, Device faulty","246","","Need to Adjust ( Work done by Soutik)"
"East","Orissa","CX4 to Conventional BH FY 25 Project","BTS Installation","BTS","IN-2037556","Aiginia Techno","45755.0","45755.0","45758.0","3","498","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Emergency Relocation","BTS Survey","BTS","OR/BH/AI/0135","Jaydev Vihar Square","45762.0","45763.0","45764.0","1","490","2.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Emergency Relocation","UBR BH Survey","UBR BH","OR/BH/AI/0135","Jaydev Vihar Square","45762.0","45763.0","45765.0","2","490","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","Emergency Relocation","UBR BH Survey","UBR BH","ORIKHU0261","Forest Park","45762.0","45763.0","45765.0","2","490","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Bihar","BAU Dismantling - FY 26","BTS Dismantle","BTS","BIHMAD0201","Jhanjharpur_02","45768.0","45768.0","45770.0","2","485","7.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","CX4 to Conventional BH FY 25","UBR BH Survey","UBR BH","OR3002","Salepur","45666.0","45668.0","45670.0","2","585","3.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BS Augment: UBR Backhaul to Direct FY24","BTS Survey","BTS","IN-1231417","NDEWDEWNTLA1","45666.0","45667.0","45668.0","1","586","3.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BS Augment: UBR Backhaul to Direct FY24","Customer Survey","Customer","091SOUT623006134868","IndusInd Bank Limited","45666.0","45669.0","45670.0","1","584","3.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BS Augment: UBR Backhaul to Direct FY24","BTS Survey","BTS","IN-1023828","GHOLA","45666.0","45667.0","45670.0","3","586","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","CX4 to Conventional BH FY 25","UBR BH Survey","UBR BH","ORIKHU0593","AIGINIA (AIGINIA PETROL PUMP)","45667.0","45668.0","45670.0","2","585","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","BH migration from TTSL to alternate FY25","BTS Survey","BTS","ID-1008250","KUMBHAR PADA","45668.0","45668.0","45668.0","0","585","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","CX4 to Conventional BH FY 25","BTS Survey","BTS","IN-2039651","ORRT18650","45670.0","45671.0","45672.0","1","582","3.0","In TAT","Fully Completed","67","","","NIL"
"East","Assam","Non Performing BS Optimization Ph-10A","PE Activity","BTS","ASGWT068","Adabari_02","45770.0","45793.0","45795.0","2","460","21.0","In TAT","Fully Completed","PE activity","67","","NIL"
"East","Assam","Top 34 Accounts","BTS Installation","BTS","ASMBAR0002","Barpeta Road","45770.0","45771.0","45787.0","16","482","5.0","Outside TAT","Fully Completed","67","","","NIL"
"East","Bihar","Top 34 Accounts","BTS Installation","BTS","BIHGAY0137","Station_Road_Gaya","45770.0","45771.0","45776.0","5","482","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Bihar","Top 34 Accounts","BTS Installation","BTS","BIHJAH0154","Jehanabad-01","45770.0","45771.0","45776.0","5","482","5.0","In TAT","Fully Completed","67","","","NIL"
